Season,Team,TeamsByYear,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
2015,MIL,2015MIL,2377,6024,145,655,624,84,6.80%,21.60%,0.142,0.303,0.251,0.307,0.393,0.304,87,1.5,-87.9,20.7,12.6
2015,MIN,2015MIN,2311,6017,156,696,661,70,7.30%,21.00%,0.152,0.292,0.247,0.305,0.399,0.305,89,-5.5,-80.4,-2.1,12.1
2015,OAK,2015OAK,2349,6171,146,694,661,78,7.70%,18.10%,0.144,0.288,0.251,0.312,0.395,0.308,95,-1,-34.1,-60.7,11.3
2015,ATL,2015ATL,2340,6034,100,573,548,69,7.80%,18.30%,0.108,0.297,0.251,0.314,0.359,0.296,84,-2.7,-115.5,22.4,9.9
2015,COL,2015COL,2436,6071,186,737,702,97,6.40%,21.10%,0.167,0.313,0.265,0.315,0.432,0.321,87,4.7,-91.9,-4.2,9.7
2015,PHI,2015PHI,2321,6053,130,626,586,88,6.40%,21.00%,0.133,0.299,0.249,0.303,0.382,0.298,86,-1.9,-100.3,-3.9,8.8
2015,CHW,2015CHW,2265,6070,136,622,595,68,6.70%,20.30%,0.13,0.296,0.25,0.306,0.38,0.3,89,-15.2,-94.3,-21.6,8.8
2014,LAD,2014LAD,2364,6231,134,718,686,138,8.30%,20.00%,0.14,0.318,0.265,0.333,0.406,0.327,112,-0.4,81.4,20.3,31.8
2014,PIT,2014PIT,2362,6224,156,682,659,104,8.40%,20.00%,0.145,0.307,0.259,0.33,0.404,0.325,108,3.8,61.6,36.7,31.4
2014,LAA,2014LAA,2468,6284,155,773,729,81,7.80%,20.10%,0.147,0.305,0.259,0.322,0.406,0.321,110,1.3,67.3,11.5,30.4
2014,BAL,2014BAL,2294,6130,211,705,681,44,6.50%,21.00%,0.166,0.296,0.256,0.311,0.422,0.323,104,-6.2,21.9,34.4,27.4
2014,WSN,2014WSN,2265,6216,152,686,635,101,8.30%,21.00%,0.14,0.303,0.253,0.321,0.393,0.317,99,15.3,8.4,42.4,26.2
2014,SFG,2014SFG,2353,6087,132,665,636,56,7.00%,20.50%,0.133,0.304,0.255,0.311,0.388,0.308,99,0.5,-5.1,52.8,25.4
2014,DET,2014DET,2330,6202,155,757,731,106,7.10%,18.40%,0.15,0.319,0.277,0.331,0.426,0.331,112,-7.3,73,-41.9,24.8
2014,TOR,2014TOR,2397,6167,177,723,690,78,8.10%,18.70%,0.155,0.295,0.259,0.323,0.414,0.325,107,0,44.9,-37,22.2
2014,OAK,2014OAK,2358,6245,146,729,686,83,9.40%,17.70%,0.137,0.278,0.244,0.32,0.381,0.312,102,11,27.2,-30.4,21.2
2014,MIL,2014MIL,2327,6065,150,650,617,102,7.00%,19.70%,0.147,0.293,0.25,0.311,0.397,0.313,94,-12.1,-56.2,62.2,20.8
2014,TBR,2014TBR,2352,6205,117,612,586,63,8.50%,18.10%,0.12,0.287,0.247,0.317,0.367,0.305,97,1,-19.9,9.5,20.3
2014,KCR,2014KCR,2273,6058,95,651,604,153,6.30%,16.30%,0.113,0.302,0.263,0.314,0.376,0.306,92,4.8,-47.8,28.1,18.8
2014,NYY,2014NYY,2288,6082,147,633,591,112,7.40%,18.60%,0.135,0.282,0.245,0.307,0.38,0.305,94,3.2,-38.5,11.7,18.1
2014,STL,2014STL,2324,6086,105,619,585,57,7.70%,18.60%,0.116,0.3,0.253,0.32,0.369,0.308,95,-15.5,-49,29.9,18.1
2014,NYM,2014NYM,2294,6145,125,629,602,101,8.40%,20.60%,0.126,0.286,0.239,0.308,0.364,0.299,92,-0.4,-56,32.6,17.8
2014,BOS,2014BOS,2283,6226,123,634,601,63,8.60%,21.50%,0.124,0.297,0.244,0.316,0.369,0.305,89,-8.1,-82.9,44.8,17.3
2014,COL,2014COL,2387,6164,186,755,721,85,6.40%,20.80%,0.169,0.326,0.276,0.327,0.445,0.337,97,-12.3,-33.1,2.2,17
2014,MIA,2014MIA,2311,6185,122,645,614,58,8.10%,22.90%,0.125,0.316,0.253,0.317,0.378,0.307,95,-5.6,-42.3,7,16.6
2014,SEA,2014SEA,2333,5977,136,634,600,96,6.60%,20.60%,0.132,0.29,0.244,0.3,0.376,0.299,94,3.2,-37.5,-1.5,16.4
2014,MIN,2014MIN,2292,6233,128,715,675,99,8.70%,21.30%,0.135,0.309,0.254,0.324,0.389,0.316,100,20.9,23.8,-72.6,16.2
2014,CHC,2014CHC,2358,6102,157,614,590,65,7.20%,24.20%,0.146,0.296,0.239,0.3,0.385,0.303,91,4,-59.5,15.2,15.4
2014,CIN,2014CIN,2213,5978,131,595,562,122,6.90%,20.90%,0.127,0.284,0.238,0.296,0.365,0.294,83,-1.2,-115.4,69.1,14.7
2014,CLE,2014CLE,2391,6222,142,669,644,104,8.10%,19.10%,0.136,0.296,0.253,0.317,0.389,0.313,98,9.9,-1.7,-65.6,14.1
2014,HOU,2014HOU,2229,6055,163,629,596,122,8.20%,23.80%,0.141,0.298,0.242,0.309,0.383,0.308,98,3.6,-8.1,-57.9,13.7
2014,CHW,2014CHW,2285,6077,155,660,625,85,6.90%,22.40%,0.146,0.306,0.253,0.31,0.398,0.312,99,-13.1,-23.5,-46.4,13.3
2014,ARI,2014ARI,2274,6089,118,615,573,86,6.50%,19.10%,0.127,0.293,0.248,0.302,0.376,0.3,83,1.5,-112.8,47.5,13
2014,ATL,2014ATL,2252,6064,123,573,545,95,7.80%,22.60%,0.119,0.298,0.241,0.305,0.36,0.296,86,-4.4,-98.9,32.7,12.8
2014,SDP,2014SDP,2362,5905,109,535,500,91,7.90%,21.90%,0.115,0.277,0.226,0.292,0.342,0.283,82,-6.2,-128.7,56.9,11.7
2014,TEX,2014TEX,2264,6026,111,637,597,105,6.90%,19.30%,0.119,0.305,0.256,0.314,0.375,0.305,90,-1.8,-66.8,-17,11.6
2014,PHI,2014PHI,2282,6198,125,619,584,109,7.10%,21.10%,0.121,0.292,0.242,0.302,0.363,0.295,86,10.6,-85.5,4.2,11.6
2013,BOS,2013BOS,2264,6382,178,853,819,123,9.10%,20.50%,0.169,0.329,0.277,0.349,0.446,0.347,114,13.3,116.7,11.9,36.2
2013,TBR,2013TBR,2423,6242,165,700,670,73,9.40%,18.80%,0.151,0.295,0.257,0.329,0.408,0.324,107,2.5,50.1,9.2,28.2
2013,DET,2013DET,2274,6388,176,796,767,35,8.30%,16.80%,0.151,0.32,0.283,0.346,0.434,0.341,114,-19,83.7,-35.3,27.6
2013,SFG,2013SFG,2396,6168,107,629,596,67,7.60%,17.50%,0.121,0.304,0.26,0.32,0.381,0.309,100,-4.1,-1.7,66.3,26.9
2013,STL,2013STL,2341,6202,125,783,745,45,7.80%,17.90%,0.133,0.314,0.269,0.332,0.401,0.322,104,-9.1,21,35,26.1
2013,BAL,2013BAL,2246,6144,212,745,719,79,6.80%,18.30%,0.171,0.288,0.26,0.313,0.431,0.323,101,13.8,16.4,22.7,25.7
2013,ATL,2013ATL,2293,6133,181,688,656,64,8.80%,22.60%,0.153,0.3,0.249,0.321,0.402,0.318,102,-5.7,3.8,50.1,25.6
2013,LAD,2013LAD,2336,6145,138,649,618,78,7.70%,18.60%,0.133,0.308,0.264,0.326,0.396,0.317,103,-8,14.7,37.2,25.5
2013,OAK,2013OAK,2313,6209,186,767,725,74,9.20%,19.00%,0.165,0.289,0.254,0.327,0.419,0.327,108,10,66.2,-32.4,25.4
2013,PIT,2013PIT,2369,6135,161,634,603,94,7.60%,21.70%,0.151,0.294,0.245,0.313,0.396,0.312,99,1.8,-3.4,30.8,22.8
2013,MIL,2013MIL,2335,6064,157,640,610,142,6.70%,19.50%,0.145,0.294,0.252,0.311,0.398,0.311,91,-6.9,-66,94,22.6
2013,CLE,2013CLE,2337,6165,171,745,711,117,9.10%,20.80%,0.155,0.3,0.255,0.327,0.41,0.324,104,11.5,39.3,-29.5,22.6
2013,CIN,2013CIN,2286,6293,155,698,664,67,9.30%,19.80%,0.142,0.293,0.249,0.327,0.391,0.316,96,-2,-32.9,52.4,22.5
2013,LAA,2013LAA,2311,6260,164,733,696,82,8.40%,19.50%,0.15,0.307,0.264,0.329,0.414,0.325,109,-9.7,54.8,-58,21.6
2013,TEX,2013TEX,2321,6196,176,730,691,149,7.50%,17.20%,0.15,0.294,0.262,0.323,0.412,0.323,97,2,-22.5,3.9,19.7
2013,KCR,2013KCR,2236,6093,112,648,620,153,6.90%,17.20%,0.119,0.3,0.26,0.315,0.379,0.305,89,18.2,-57.4,39.6,19.4
2013,ARI,2013ARI,2349,6334,130,685,647,62,8.20%,18.00%,0.133,0.301,0.259,0.323,0.391,0.314,93,-18.5,-69.4,59.4,19.4
2013,SDP,2013SDP,2359,6122,146,618,578,118,7.60%,21.40%,0.133,0.294,0.245,0.308,0.378,0.302,94,8.8,-35.4,24.4,18.6
2013,WSN,2013WSN,2241,6047,161,656,621,88,7.70%,19.70%,0.146,0.292,0.251,0.313,0.398,0.311,94,3.1,-34.7,16.3,17.6
2013,TOR,2013TOR,2314,6152,185,712,669,112,8.30%,18.30%,0.158,0.284,0.252,0.318,0.411,0.32,99,3.8,-2.8,-39.1,17
2013,NYM,2013NYM,2378,6207,130,619,593,114,8.20%,22.30%,0.129,0.291,0.237,0.306,0.366,0.297,90,23,-49.2,16.1,16.5
2013,NYY,2013NYY,2253,6044,144,650,614,115,7.70%,20.10%,0.133,0.285,0.242,0.307,0.376,0.301,86,4.4,-89.2,28.1,14.6
2013,CHC,2013CHC,2294,6079,172,602,576,63,7.20%,20.20%,0.154,0.275,0.238,0.3,0.392,0.304,90,-11.9,-78.3,27.3,14.1
2013,COL,2013COL,2330,6152,159,706,673,112,6.90%,19.60%,0.149,0.317,0.27,0.323,0.418,0.324,87,17.4,-72.7,15.1,13.7
2013,MIN,2013MIN,2332,6212,151,614,590,52,8.60%,23.00%,0.138,0.298,0.242,0.312,0.38,0.307,91,1.2,-66.1,-35.4,10.8
2013,SEA,2013SEA,2237,6172,188,624,597,49,8.60%,21.90%,0.152,0.279,0.237,0.306,0.39,0.307,95,-6.9,-41.1,-66.7,10
2013,PHI,2013PHI,2310,6014,140,610,578,73,6.90%,20.00%,0.135,0.293,0.248,0.306,0.384,0.303,89,-7.4,-81.9,-15.8,8.9
2013,CHW,2013CHW,2279,6077,148,598,574,105,6.80%,19.90%,0.129,0.291,0.249,0.302,0.378,0.299,85,-12.7,-117.5,-29,5.5
2013,MIA,2013MIA,2244,6021,95,513,485,78,7.20%,20.50%,0.104,0.28,0.231,0.293,0.335,0.279,74,-5.2,-178.9,29.5,3.3
2013,HOU,2013HOU,2266,6020,148,610,566,110,7.10%,25.50%,0.136,0.304,0.24,0.299,0.375,0.298,85,-8.9,-112.7,-64.4,1.9
2012,LAA,2012LAA,2267,6121,187,767,732,134,7.30%,18.20%,0.159,0.311,0.274,0.332,0.433,0.331,113,13.5,109.8,5.9,33.8
2012,NYY,2012NYY,2367,6231,245,804,774,93,9.10%,18.90%,0.188,0.293,0.265,0.337,0.453,0.342,113,2.3,97.2,12.1,33.6
2012,SFG,2012SFG,2384,6200,103,718,675,118,7.80%,17.70%,0.128,0.315,0.269,0.327,0.397,0.314,101,13,22.4,66.7,29
2012,STL,2012STL,2391,6326,159,765,732,91,8.40%,18.80%,0.15,0.316,0.271,0.338,0.421,0.329,106,-1.6,46.5,33.9,28.5
2012,MIL,2012MIL,2415,6224,202,776,741,158,7.50%,19.90%,0.177,0.299,0.259,0.325,0.437,0.329,102,12.1,29.5,52.2,28.3
2012,ATL,2012ATL,2264,6126,149,700,660,101,9.30%,21.00%,0.142,0.296,0.247,0.32,0.389,0.31,92,7.2,-48.9,123.8,27.3
2012,CIN,2012CIN,2211,6115,172,669,636,87,7.90%,20.70%,0.159,0.296,0.251,0.315,0.411,0.314,93,13.5,-36,78.9,23.9
2012,TBR,2012TBR,2406,6105,175,697,665,134,9.40%,21.70%,0.155,0.284,0.24,0.317,0.394,0.311,100,-0.7,-1,20.8,23.7
2012,WSN,2012WSN,2338,6221,194,731,688,105,7.70%,21.30%,0.166,0.308,0.261,0.322,0.428,0.324,101,-4.1,4.7,33,23.7
2012,TEX,2012TEX,2236,6216,200,808,780,91,7.70%,17.70%,0.173,0.306,0.273,0.334,0.446,0.336,106,-5.8,39.5,-27.3,23.3
2012,ARI,2012ARI,2213,6150,165,734,710,93,8.80%,20.60%,0.159,0.307,0.259,0.328,0.418,0.323,97,-5.6,-30.7,52,21.7
2012,SDP,2012SDP,2384,6112,121,651,610,155,8.80%,20.30%,0.133,0.297,0.247,0.319,0.38,0.307,97,13.8,-8.4,29.1,21.6
2012,PHI,2012PHI,2294,6172,158,684,659,116,7.40%,17.70%,0.144,0.29,0.255,0.317,0.4,0.311,93,10.7,-40.8,58.9,21.5
2012,CHW,2012CHW,2277,6111,211,748,726,109,7.50%,19.70%,0.167,0.289,0.255,0.318,0.422,0.322,98,-7,-18.2,8.7,20.7
2012,DET,2012DET,2248,6119,163,726,698,59,8.40%,18.00%,0.154,0.307,0.268,0.335,0.422,0.328,105,-17.8,15.4,-27.2,20.5
2012,BOS,2012BOS,2317,6166,165,734,695,97,6.90%,19.40%,0.155,0.301,0.26,0.315,0.415,0.316,95,2.6,-37.1,20,20.1
2012,OAK,2012OAK,2247,6183,195,713,676,122,8.90%,22.40%,0.166,0.281,0.238,0.31,0.404,0.311,97,19.4,0.3,-24.4,19.4
2012,NYM,2012NYM,2420,6091,139,650,625,79,8.30%,20.50%,0.137,0.298,0.249,0.316,0.386,0.306,94,-3.2,-48.8,16.1,15.9
2012,BAL,2012BAL,2282,6160,214,712,677,58,7.80%,21.30%,0.17,0.286,0.247,0.311,0.417,0.317,96,-17.1,-44,-24.7,14.6
2012,TOR,2012TOR,2289,6094,198,716,677,123,7.80%,20.50%,0.161,0.281,0.245,0.309,0.407,0.311,92,2.5,-55.8,-14,14.3
2012,LAD,2012LAD,2356,6091,116,637,607,104,7.90%,19.00%,0.122,0.298,0.252,0.317,0.374,0.302,90,-8.6,-81.9,28.9,13.8
2012,KCR,2012KCR,2249,6149,131,676,643,132,6.60%,16.80%,0.135,0.302,0.265,0.317,0.4,0.311,94,-7.4,-50.8,-35.7,12.7
2012,MIN,2012MIN,2271,6209,131,701,666,135,8.10%,17.20%,0.13,0.298,0.26,0.325,0.39,0.313,95,0.7,-32.5,-57.5,12.6
2012,CHC,2012CHC,2341,5967,137,613,570,94,7.50%,20.70%,0.138,0.286,0.24,0.302,0.378,0.297,81,-6,-138.9,65.7,11.3
2012,MIA,2012MIA,2269,6057,137,609,576,149,8.00%,20.30%,0.138,0.289,0.244,0.308,0.382,0.3,87,2.5,-92.9,10.9,10.6
2012,COL,2012COL,2429,6183,166,758,716,100,7.30%,19.60%,0.163,0.321,0.274,0.33,0.436,0.331,90,2.8,-73.8,-14.7,10.3
2012,PIT,2012PIT,2360,6014,170,651,620,73,7.40%,22.50%,0.152,0.291,0.243,0.304,0.395,0.304,91,-0.3,-67.8,-17,10.2
2012,SEA,2012SEA,2236,6057,149,619,584,104,7.70%,20.80%,0.135,0.276,0.234,0.296,0.369,0.291,87,0.1,-89.6,-30.3,8.9
2012,CLE,2012CLE,2339,6195,136,667,635,110,9.00%,17.50%,0.131,0.288,0.251,0.324,0.381,0.31,97,-13.6,-37.7,-93.2,8.2
2012,HOU,2012HOU,2421,6014,146,583,545,105,7.70%,22.70%,0.135,0.288,0.236,0.302,0.371,0.296,82,-16.9,-144.4,17.7,5.8
2011,NYY,2011NYY,2301,6306,222,867,836,147,9.90%,18.00%,0.181,0.292,0.263,0.343,0.444,0.345,113,6.6,101.6,39.7,37
2011,BOS,2011BOS,2269,6414,203,875,842,102,9.00%,17.30%,0.181,0.314,0.28,0.349,0.461,0.352,117,-12.2,114.3,16.2,36.3
2011,TEX,2011TEX,2186,6261,210,855,807,143,7.60%,14.90%,0.177,0.304,0.283,0.34,0.46,0.347,112,20.6,107.4,5.3,33.9
2011,MIL,2011MIL,2292,6113,185,721,693,94,7.90%,17.70%,0.164,0.293,0.261,0.325,0.425,0.327,103,0.3,20.6,82,30.5
2011,ARI,2011ARI,2230,6096,172,731,702,133,8.70%,20.50%,0.163,0.294,0.25,0.322,0.413,0.322,97,9,-14.8,117.8,30.5
2011,STL,2011STL,2403,6242,162,762,726,57,8.70%,15.70%,0.151,0.305,0.273,0.341,0.425,0.334,112,-16.5,72.3,17.6,29.6
2011,CIN,2011CIN,2358,6329,183,735,697,97,8.50%,19.80%,0.152,0.297,0.256,0.326,0.408,0.322,99,8.7,3.6,81.9,29.4
2011,TBR,2011TBR,2284,6152,172,707,674,155,9.30%,19.40%,0.159,0.281,0.244,0.322,0.402,0.319,103,10.4,35.1,23.1,27.7
2011,LAA,2011LAA,2187,6088,155,667,629,135,7.30%,17.80%,0.149,0.288,0.253,0.313,0.402,0.313,98,-3.8,-14.6,38,23.8
2011,DET,2011DET,2309,6231,169,787,750,49,8.40%,18.30%,0.157,0.318,0.277,0.34,0.434,0.337,109,-15.2,48.5,-36.5,23.1
2011,KCR,2011KCR,2134,6267,129,730,705,153,7.10%,16.10%,0.14,0.311,0.275,0.329,0.415,0.325,101,0.7,4.5,-25.3,19.8
2011,LAD,2011LAD,2304,6094,117,644,613,126,8.20%,17.80%,0.118,0.299,0.257,0.322,0.375,0.307,95,10.2,-24.6,24.3,19.6
2011,PHI,2011PHI,2203,6279,153,713,693,96,8.60%,16.30%,0.142,0.283,0.253,0.323,0.395,0.315,96,3.5,-29.5,17.9,19
2011,ATL,2011ATL,2322,6169,173,641,606,77,8.20%,20.40%,0.144,0.284,0.243,0.308,0.387,0.306,91,-4.8,-70.5,57.9,18.5
2011,SFG,2011SFG,2370,6091,121,570,534,85,7.40%,18.40%,0.126,0.281,0.242,0.303,0.368,0.295,88,-6.5,-87.9,74.2,18.1
2011,NYM,2011NYM,2383,6335,108,718,676,130,9.00%,17.10%,0.127,0.307,0.264,0.335,0.391,0.319,102,11.1,25,-55.1,17.2
2011,WSN,2011WSN,2341,6090,154,624,594,106,7.70%,21.70%,0.14,0.292,0.242,0.309,0.383,0.305,89,3.7,-73.4,45.6,16.6
2011,TOR,2011TOR,2265,6210,186,743,704,131,8.50%,19.10%,0.164,0.283,0.249,0.317,0.413,0.319,97,12.1,-11.6,-46.8,15.6
2011,SDP,2011SDP,2355,6074,91,593,563,170,8.20%,21.70%,0.112,0.294,0.237,0.305,0.349,0.29,86,18.2,-77.2,34.3,15
2011,CHC,2011CHC,2373,6130,148,654,610,69,6.90%,19.60%,0.144,0.301,0.256,0.314,0.401,0.314,91,-17.7,-80.2,29.5,14.3
2011,FLA,2011FLA,2348,6232,149,625,596,95,8.70%,20.00%,0.142,0.291,0.247,0.318,0.388,0.311,92,2.1,-56.1,-3.7,13.7
2011,HOU,2011HOU,2377,6150,95,615,579,118,6.50%,18.90%,0.116,0.308,0.258,0.311,0.374,0.301,88,-0.6,-89.1,28.3,13.3
2011,BAL,2011BAL,2262,6156,191,708,684,81,7.30%,18.20%,0.156,0.288,0.257,0.316,0.413,0.32,96,-11.3,-39.1,-48.9,12.3
2011,COL,2011COL,2348,6275,163,735,697,118,8.80%,19.10%,0.152,0.3,0.258,0.329,0.41,0.324,88,-1.8,-92.6,12.7,11.7
2011,CHW,2011CHW,2206,6159,154,654,625,81,7.70%,16.10%,0.136,0.28,0.252,0.319,0.388,0.312,90,-9.9,-80,-13.9,11.7
2011,CLE,2011CLE,2287,6142,154,704,671,89,8.00%,20.70%,0.146,0.297,0.25,0.317,0.396,0.314,99,0.4,-8.5,-107.2,9.3
2011,OAK,2011OAK,2229,6104,114,645,612,117,8.30%,17.90%,0.125,0.283,0.244,0.311,0.369,0.301,89,-6.5,-82.2,-49.5,7.5
2011,PIT,2011PIT,2444,6064,107,610,580,108,8.10%,21.60%,0.123,0.301,0.244,0.309,0.368,0.299,88,-15.2,-103.1,-17.8,6.7
2011,MIN,2011MIN,2269,6020,103,619,572,92,7.30%,17.40%,0.113,0.288,0.247,0.306,0.36,0.296,82,-6.5,-133.4,-25.8,4.3
2011,SEA,2011SEA,2090,5972,109,556,534,125,7.30%,21.40%,0.115,0.283,0.233,0.292,0.348,0.283,80,11.9,-124.4,-36.6,3.9
2010,CIN,2010CIN,2370,6285,188,790,761,93,8.30%,19.40%,0.164,0.314,0.272,0.338,0.436,0.34,106,12.7,57.2,96.8,35.7
2010,NYY,2010NYY,2313,6379,201,859,823,103,10.40%,17.80%,0.169,0.3,0.267,0.35,0.436,0.346,112,12.1,101.5,-24.8,31.2
2010,TBR,2010TBR,2361,6270,160,802,769,172,10.70%,20.60%,0.156,0.293,0.247,0.333,0.403,0.326,106,37.6,78.5,-3.2,30.7
2010,MIL,2010MIL,2262,6304,182,750,710,81,8.70%,19.30%,0.161,0.304,0.262,0.335,0.424,0.334,104,0.6,32.4,66.3,30
2010,MIN,2010MIN,2290,6257,142,781,749,68,8.90%,15.50%,0.148,0.306,0.273,0.341,0.422,0.335,106,-15.8,29.5,17.9,27.8
2010,SFG,2010SFG,2354,6143,162,697,660,55,7.90%,17.90%,0.151,0.293,0.257,0.321,0.408,0.32,98,-18.3,-31.6,95.2,25.8
2010,STL,2010STL,2347,6241,150,736,689,79,8.70%,16.50%,0.139,0.296,0.263,0.332,0.402,0.322,99,1.8,-6.8,59.6,25
2010,BOS,2010BOS,2327,6356,211,818,782,68,9.20%,17.90%,0.183,0.299,0.268,0.339,0.451,0.345,109,-7.2,59.7,-43.4,24.9
2010,TOR,2010TOR,2206,6072,257,755,732,58,7.80%,19.20%,0.206,0.269,0.248,0.312,0.454,0.334,105,-12.3,25.1,-9.9,23.7
2010,ATL,2010ATL,2376,6252,139,738,699,63,10.10%,18.20%,0.143,0.301,0.258,0.339,0.401,0.327,100,-2.1,-2.9,41.9,23.6
2010,SDP,2010SDP,2352,6148,132,665,630,124,8.80%,19.20%,0.125,0.29,0.246,0.317,0.371,0.304,92,9.3,-50.2,91.9,23.6
2010,DET,2010DET,2274,6312,152,751,717,69,8.70%,18.20%,0.147,0.311,0.268,0.335,0.415,0.33,102,9.7,23.9,-18.7,23.6
2010,PHI,2010PHI,2277,6291,166,772,736,108,8.90%,16.90%,0.153,0.292,0.26,0.332,0.413,0.327,99,13.3,5.5,27.4,23.1
2010,TEX,2010TEX,2312,6302,162,787,740,123,8.10%,15.60%,0.143,0.307,0.276,0.338,0.419,0.333,98,4.5,-7,-4.1,21.8
2010,ARI,2010ARI,2271,6183,180,713,691,86,9.50%,24.70%,0.166,0.312,0.25,0.325,0.416,0.325,93,-8.3,-62.7,85.8,21.8
2010,OAK,2010OAK,2255,6117,109,663,619,156,8.60%,17.30%,0.122,0.297,0.256,0.324,0.378,0.313,95,17.8,-20.6,1,20.3
2010,WSN,2010WSN,2410,6100,149,655,634,110,8.20%,20.00%,0.14,0.294,0.25,0.318,0.39,0.313,90,-11.3,-84.4,59.9,16.6
2010,FLA,2010FLA,2300,6194,152,719,686,92,8.30%,22.20%,0.149,0.309,0.254,0.321,0.403,0.318,92,22.5,-36.1,2.7,15.9
2010,CHW,2010CHW,2212,6118,177,752,710,160,7.60%,15.10%,0.152,0.292,0.268,0.332,0.42,0.332,100,-8.1,-7.7,-56.3,15.7
2010,NYM,2010NYM,2348,6144,128,656,625,130,8.20%,17.80%,0.134,0.287,0.249,0.314,0.383,0.307,89,10.6,-70.9,30.6,15.1
2010,LAA,2010LAA,2236,6089,155,681,656,104,7.70%,17.60%,0.142,0.281,0.248,0.311,0.39,0.31,94,-8.8,-54.2,-24.1,14.1
2010,CHC,2010CHC,2307,6140,149,685,658,55,7.80%,20.10%,0.145,0.304,0.257,0.32,0.401,0.318,90,-10.3,-81.7,29,13.8
2010,COL,2010COL,2379,6265,173,770,741,99,9.30%,20.30%,0.162,0.31,0.263,0.336,0.425,0.333,91,9.3,-62,2.5,13.5
2010,LAD,2010LAD,2310,6140,120,667,621,92,8.70%,19.30%,0.127,0.299,0.252,0.322,0.379,0.309,92,1.3,-60.6,3.4,13.3
2010,CLE,2010CLE,2255,6165,128,646,601,91,8.80%,19.20%,0.13,0.293,0.248,0.322,0.378,0.311,94,1.3,-40.7,-70.3,11
2010,KCR,2010KCR,2190,6209,121,676,640,115,7.60%,14.60%,0.126,0.305,0.274,0.331,0.399,0.323,98,-28.4,-42.1,-81.2,9.9
2010,BAL,2010BAL,2240,6109,133,613,577,76,6.90%,17.30%,0.127,0.296,0.259,0.316,0.386,0.31,87,-21,-111.8,-11,9.6
2010,HOU,2010HOU,2358,6005,108,611,577,100,6.90%,17.10%,0.115,0.285,0.247,0.303,0.362,0.295,79,-6.4,-156.6,27.6,5.4
2010,SEA,2010SEA,2104,5989,101,513,485,142,7.70%,19.80%,0.104,0.282,0.236,0.298,0.339,0.285,79,-1,-148.9,-40.5,2.2
2010,PIT,2010PIT,2327,5974,126,587,570,87,7.80%,20.20%,0.131,0.288,0.242,0.304,0.373,0.3,84,-5.8,-119,-48.1,1.4
2009,TBR,2009TBR,2345,6223,199,803,765,194,10.30%,19.70%,0.177,0.303,0.263,0.343,0.439,0.342,109,21.6,90.5,41.8,35.1
2009,NYY,2009NYY,2369,6449,244,915,881,111,10.30%,15.70%,0.194,0.306,0.283,0.362,0.478,0.365,117,0.2,137.5,-25.5,33.8
2009,PHI,2009PHI,2285,6338,224,820,788,119,9.30%,18.20%,0.189,0.286,0.258,0.334,0.447,0.339,103,20,42.5,78.4,32
2009,LAA,2009LAA,2246,6305,173,883,841,148,8.70%,16.70%,0.156,0.322,0.285,0.35,0.441,0.346,108,8.6,75.5,-5.4,29.1
2009,LAD,2009LAD,2352,6385,145,780,739,116,9.50%,16.70%,0.141,0.309,0.27,0.346,0.412,0.332,102,4,18.7,55.4,27.4
2009,MIL,2009MIL,2321,6296,182,785,757,68,9.70%,19.60%,0.164,0.305,0.263,0.341,0.426,0.336,103,-9.6,10.2,38.9,24.6
2009,BOS,2009BOS,2317,6344,212,872,822,126,10.40%,17.70%,0.184,0.301,0.27,0.352,0.454,0.351,106,-7.7,40.7,-19.8,24.4
2009,STL,2009STL,2358,6168,160,730,694,75,8.60%,16.90%,0.152,0.296,0.263,0.332,0.415,0.325,98,13.4,-1.6,50,24.2
2009,MIN,2009MIN,2315,6346,172,817,770,85,9.20%,16.10%,0.155,0.306,0.274,0.345,0.429,0.338,104,15.3,42.9,-41.4,22.4
2009,ATL,2009ATL,2335,6335,149,735,700,58,9.50%,16.80%,0.142,0.3,0.263,0.339,0.405,0.327,97,-20.2,-44.2,67.6,22.2
2009,CIN,2009CIN,2314,6187,158,673,637,96,8.60%,18.20%,0.147,0.282,0.247,0.318,0.394,0.313,84,5.2,-118.5,119.4,19.5
2009,TOR,2009TOR,2202,6362,209,798,766,73,8.60%,16.20%,0.174,0.29,0.266,0.333,0.44,0.337,101,12.2,21.5,-50,19.5
2009,FLA,2009FLA,2394,6312,159,772,727,75,9.00%,19.40%,0.148,0.316,0.268,0.34,0.416,0.332,97,4.5,-16.7,12,19.3
2009,TEX,2009TEX,2158,6127,224,784,748,149,7.70%,20.50%,0.185,0.296,0.26,0.32,0.445,0.331,92,9.1,-49.8,24.6,19
2009,COL,2009COL,2352,6241,190,804,760,106,10.60%,20.50%,0.18,0.305,0.261,0.343,0.441,0.341,96,5.3,-29.7,22.8,18.9
2009,ARI,2009ARI,2301,6269,173,720,686,102,9.10%,20.70%,0.165,0.299,0.253,0.324,0.418,0.324,89,13.1,-75.3,53.6,17.5
2009,SEA,2009SEA,2150,6113,160,640,613,89,6.90%,17.90%,0.144,0.293,0.258,0.314,0.402,0.313,89,-4.5,-87,40,16.8
2009,SFG,2009SFG,2304,6057,122,657,612,78,6.50%,19.10%,0.132,0.302,0.257,0.309,0.389,0.305,83,10,-118.1,94,16.6
